Generation,Best,Average,Worst
105,1342.9631590377362,1637.7726401033228,1932.5821211689092
106,1336.6743914767003,1602.6829552278864,1868.6915189790723
107,1331.6500213959625,1629.7212066388693,1927.792391881776
108,1331.6500213959625,1641.7307718879738,1951.8115223799853
109,1329.1714203158576,1587.71702367111,1846.2626270263622
110,1313.0457148111495,1577.9113936758943,1842.777072540639
111,1313.0457148111495,1575.6808060828466,1838.3158973545437
112,1303.2325683285085,1562.1658771611535,1821.0991859937985
113,1303.2325683285085,1566.1001956372345,1828.9678229459605
114,1303.2325683285085,1622.6538958590388,1942.0752233895691
115,1297.2764410485547,1602.8721188702061,1908.4677966918575
116,1288.698239947913,1577.8824590316044,1867.0666781152959
117,1288.698239947913,1613.6157252198077,1938.5332104917024
118,1288.698239947913,1642.7121297080996,1996.7260194682863
119,1286.7505302690975,1634.25536569843,1981.760201127763
120,1284.9052737149314,1577.5026615880072,1870.100049461083
121,1284.9052737149314,1514.351913855286,1743.7985539956405
122,1284.9052737149314,1531.339747650686,1777.7742215864405
123,1280.5848967511379,1487.0670193200945,1693.549141889051
124,1274.2811455115307,1506.1707820968327,1738.0604186821347
125,1274.2811455115307,1558.9208871728083,1843.5606288340862
126,1266.6447001260403,1520.535979626155,1774.4272591262697
127,1266.6447001260403,1531.0906574268874,1795.5366147277346
128,1265.352950675296,1535.0729570964056,1804.7929635175153
129,1265.2657589926914,1585.0411864552793,1904.816613917867
130,1265.2657589926914,1490.978193537233,1716.6906280817748
131,1265.2657589926914,1538.6765008105076,1812.087242628324
132,1265.2416385336564,1485.5362505357903,1705.830862537924
133,1263.6672864657924,1461.4769230992397,1659.2865597326872
134,1263.6672864657924,1543.475414659807,1823.283542853822
135,1263.6672864657924,1547.8210044356283,1831.9747224054643
136,1258.3187174208397,1437.4399936628497,1616.5612699048597
137,1258.3187174208397,1466.9983549379986,1675.6779924551572
138,1255.629134064397,1466.4337004410586,1677.2382668177204
139,1253.0323208598995,1510.6148226114642,1768.1973243630287
140,1253.0323208598995,1561.7093926251805,1870.3864643904612
141,1251.2650608711444,1579.023259417373,1906.7814579636015
142,1251.2650608711444,1553.1623565025106,1855.0596521338769
143,1246.4217257777182,1605.494571664211,1964.5674175507036
144,1241.9395262373264,1522.5251284953779,1803.1107307534296
145,1239.5340057364526,1526.0918446358337,1812.6496835352145
146,1239.5340057364526,1526.0918446358337,1812.6496835352145
147,1238.4188061406014,1487.0627318239294,1735.7066575072574
148,1237.5960871338061,1466.956023328728,1696.3159595236496
149,1231.8879942511444,1443.7007162624782,1655.5134382738117
150,1231.8879942511444,1471.9833687997218,1712.0787433482992
151,1231.0436633006345,1401.5772924424834,1572.1109215843323
152,1231.0436633006345,1419.4294700382986,1607.8152767759627
153,1231.0436633006345,1349.8732092703835,1468.7027552401325
154,1230.027444109663,1382.6178923954433,1535.2083406812235
155,1226.3226318167854,1394.7780460733675,1563.2334603299496
156,1222.3193777611386,1360.8030195753154,1499.2866613894919
157,1222.0129190092293,1340.4975693233189,1458.9822196374084
158,1216.72900546279,1370.573381151674,1524.4177568405582
159,1211.6386657410333,1367.7207748499502,1523.8028839588671
160,1207.0977651142925,1346.428469262164,1485.7591734100356
161,1205.4896362598904,1332.4061312155727,1459.322626171255
162,1200.1736969608262,1345.355205077352,1490.5367131938774
163,1200.1736969608262,1312.0459417135921,1423.918186466358
164,1199.8155856363132,1333.160694862674,1466.505804089035
165,1194.3264736429558,1282.498552255143,1370.6706308673304
166,1194.3264736429558,1308.176131959852,1422.0257902767482
167,1194.3264736429558,1318.6588832528191,1442.9912928626823
168,1194.3264736429558,1283.5819447420076,1372.8374158410595
169,1194.3264736429558,1343.8546112134732,1493.3827487839906
170,1194.3264736429558,1345.3375349432263,1496.3485962434968
171,1194.3264736429558,1319.348709082119,1444.3709445212821
172,1194.3264736429558,1350.7148184978578,1507.1031633527598
173,1194.3264736429558,1341.7078342924829,1489.0891949420102
174,1192.811351980643,1327.8894171875718,1462.9674823945008
175,1192.811351980643,1325.2288086956623,1457.646265410682
176,1192.811351980643,1359.2248996130459,1525.6384472454488
177,1192.811351980643,1375.0347108661472,1557.2580697516514
178,1191.7426026678058,1370.2658978928266,1548.7891931178474
179,1191.7426026678058,1358.5053714218352,1525.2681401758646
180,1191.7426026678058,1367.0226330538912,1542.3026634399769
181,1191.7426026678058,1367.5570077103098,1543.371412752814
182,1191.3370734474524,1283.6122013430336,1375.8873292386147
183,1190.4092517012596,1236.8572914991353,1283.305331297011
184,1190.4092517012596,1232.0242818926233,1273.639312083987
185,1190.4092517012596,1228.1779538069852,1265.9466559127109
186,1190.4092517012596,1191.6103018409513,1192.811351980643
187,1184.635681274769,1196.7462000562225,1208.856718837676
188,1184.635681274769,1194.3255472294954,1204.0154131842219
189,1184.635681274769,1188.1891419712874,1191.7426026678058
190,1183.2749103636806,1187.5087565157432,1191.7426026678058
191,1183.2749103636806,1210.6188251044598,1237.962739845239
192,1183.2749103636806,1210.6188251044598,1237.962739845239
193,1183.2749103636806,1212.6369861963478,1241.999062029015
194,1182.4972944475735,1218.2543655566676,1254.0114366657617
195,1182.4972944475735,1226.4266850604643,1270.356075673355
196,1182.4972944475735,1226.4266850604643,1270.356075673355
197,1182.4972944475735,1226.0378771024107,1269.5784597572479
198,1182.4972944475735,1209.1980774476385,1235.8988604477036
199,1182.4972944475735,1209.1980774476385,1235.8988604477036
200,1182.4972944475735,1209.1980774476385,1235.8988604477036
201,1182.4972944475735,1208.9400351675608,1235.3827758875482
202,1182.4972944475735,1182.4972944475735,1182.4972944475735
203,1182.4972944475735,1182.4972944475735,1182.4972944475735
204,1182.4972944475735,1182.4972944475735,1182.4972944475735
205,1182.4972944475735,1182.4972944475735,1182.4972944475735
206,1182.4972944475735,1182.4972944475735,1182.4972944475735
207,1182.4972944475735,1182.4972944475735,1182.4972944475735
208,1182.4972944475735,1182.4972944475735,1182.4972944475735
209,1182.4972944475735,1182.4972944475735,1182.4972944475735
210,1182.4972944475735,1182.4972944475735,1182.4972944475735
211,1182.4972944475735,1182.4972944475735,1182.4972944475735
212,1182.4972944475735,1182.4972944475735,1182.4972944475735
213,1182.4972944475735,1182.4972944475735,1182.4972944475735
214,1182.4972944475735,1182.4972944475735,1182.4972944475735
215,1182.4972944475735,1182.4972944475735,1182.4972944475735
216,1182.4972944475735,1182.4972944475735,1182.4972944475735
217,1182.4972944475735,1182.4972944475735,1182.4972944475735
218,1182.4972944475735,1182.4972944475735,1182.4972944475735
219,1182.4972944475735,1182.4972944475735,1182.4972944475735
220,1182.4972944475735,1182.4972944475735,1182.4972944475735
221,1182.4972944475735,1182.4972944475735,1182.4972944475735
222,1182.4972944475735,1182.4972944475735,1182.4972944475735
223,1182.4972944475735,1182.4972944475735,1182.4972944475735
224,1182.4972944475735,1182.4972944475735,1182.4972944475735
225,1182.4972944475735,1182.4972944475735,1182.4972944475735
226,1182.4972944475735,1182.4972944475735,1182.4972944475735
227,1182.4972944475735,1182.4972944475735,1182.4972944475735
228,1182.4972944475735,1182.4972944475735,1182.4972944475735
229,1182.4972944475735,1182.4972944475735,1182.4972944475735
230,1182.4972944475735,1182.4972944475735,1182.4972944475735
231,1182.4972944475735,1182.4972944475735,1182.4972944475735
232,1182.4972944475735,1182.4972944475735,1182.4972944475735
233,1182.4972944475735,1182.4972944475735,1182.4972944475735
234,1182.4972944475735,1182.4972944475735,1182.4972944475735
235,1182.4972944475735,1182.4972944475735,1182.4972944475735
236,1182.4972944475735,1182.4972944475735,1182.4972944475735
237,1182.4972944475735,1182.4972944475735,1182.4972944475735
238,1182.4972944475735,1182.4972944475735,1182.4972944475735
239,1182.4972944475735,1182.4972944475735,1182.4972944475735
